Age,M,F
0-4,108073054,105204346
5-9,98176571,95835937
10-14,88602405,86590439
15-19,76944899,75437253
20-24,65449109,64543048
25-29,56366128,56055069
30-34,49495686,49653921
35-39,43287354,43639843
40-44,36385334,36576966
45-49,28965817,29340614
50-54,23187560,24136220
55-59,18216651,19813264
60-64,13698718,15626060
65-69,9797403,11679722
70-74,6459105,8034508
75-79,3734475,4971897
80-84,1721589,2558057
85-89,603993,1056473
90-94,143721,320593
95-99,22192,63991
100+,2808,8970
